VTV1,VTV2,VTV3,VTV4,VTV5,VTV5 Tây Nam Bộ,VTV5 Tây Nguyên,VTV6,VTV7,VTV8,VTV9,VTVCab1,VTVCab17 - Yeah 1,VTVCab2 - PhimViet,VTVCab3 - Thể thao TV,VTVCab6 - HayTV,VTVCab7 - D Dramas,VTVCab8 - BiBi
00:00 - Thời sự 0h -  ,00:00 - Những mảnh ghép của cuộc sống - Những miền Phật tích Ấn Độ - Tập 3,00:00 - Phim truyện - Quỹ đen của chồng - Tập 14,00:00 - Bản tin tiếng Việt 0h -  ,00:00 - Phim tài liệu - Ấp nhà lầu trên đồng Chó Ngáp,00:00 - Phim tài liệu - Ấp nhà lầu trên đồng Chó Ngáp,00:00 - Phim tài liệu - Ấp nhà lầu trên đồng Chó Ngáp,00:00 - Thể thao - Tạp chí thể thao thế giới,00:00 -  - ,00:00 -  - ,00:00 - Thể thao -  ,00:00 - Sao thế giới - Tập 156,00:00 -  - ,00:00 -  - ,00:00 -  - ,00:00 - Hương vị cuộc sống - Tập 17,00:00 - Phim truyện - Phượng mưu hoàng kế - Tập 23,00:00 -  - 
00:15 - Cảm ơn cuộc đời - Tôi là một người lính,00:30 - Phóng sự - Giày thủ công CNES,00:50 - Khám phá thế giới - Trường học hoang dã - Tập 5,00:20 - Sức sống thể thao -  ,00:30 - Danh nhân đất việt - Tam nguyên Yên Đổ,00:30 - Danh nhân đất Việt - Tam nguyên Yên Đổ,00:30 - Danh nhân đất Việt - Tam nguyên Yên Đổ,00:30 - Thứ sáu để yêu -  ,06:00 - Thức dậy cùng VTV7 -  ,05:00 - Chuyện biển chuyện người - Tiến sĩ cua đá,00:30 - Ai rành 6 câu - Tướng cướp Bạch Hải Đường.,00:30 - Sao và sự kiện - Tập 316,00:30 - Ẩm thực quanh ta - Số 28,00:02 - Phim truyện - Nợ ân tình - Tập 9,01:30 - Khai cuộc V - League 2018 - Vòng 19,01:00 - Hương vị cuộc sống - Tập 18,01:00 - Phim truyện - Hoa trong ngục - Tập 74,06:00 - Phim hoạt hình - Đội túc cầu thần thánh - Tập 10
00:30 - Hòa nhạc thính phòng - Hòa nhạc kỷ niệm 100 năm ngày mất Debussy,00:45 - Khám phá thế giới - Hồ sơ chưa giải mã - Tập 12,01:20 - Điều ước thứ 7 -  ,00:25 - Thời tiết du lịch -  ,01:00 - Khám phá thế giới - Con tàu trái đất - Tập 3,01:00 - Khám phá thế giới - Con tàu Trái đất - Phần 3,01:00 - Khám phá thế giới - Thiên đường cuối cùng - Tập 9,01:00 - Phim truyện - Nơi ẩn nấp bình yên - Tập 11,07:00 - Crack'em up - Số 10,05:15 - Gặp gỡ cuối tuần -  ,02:00 - Từ biên cương đến hải đảo - Nghĩa tình ở Vĩnh Hải,01:00 - Chuyện khó đỡ - Tập 4,01:00 - Kiến tạo nhịp cầu - Số 4,01:00 - Phim truyện - Thiếu gia nhà nghèo - Tập 10,02:00 - Bình luận Cúp Bóng đá Thế giới -  ,02:00 - Phim sitcom - Nè biết gì chưa - Tập 219,02:00 - Phim truyện - Con tim dẫn lối - Tập 12,06:30 - Phim hoạt hình - Pokemon - Phần 1 - Tập 23
01:00 - Thời sự 1h -  ,01:30 - Phim truyện - Vòng xoáy vương quyền - Tập 34,02:10 - Chuyện đêm muộn - Bí mật của hạnh phúc,00:30 - Talk Vietnam - Nhà thiết kế người Bỉ và cảm hứng từ văn hoá Cơ Tu,02:00 - Bố ơi! Mình đi đâu thế? -  ,02:00 - Bố ơi! Mình đi đâu thế? -  ,02:00 - Đường lên đỉnh Olympia -  ,01:45 - Bảng xếp hạng âm nhạc Hàn Quốc -  ,07:30 - Đường đến trường - Kiên quyết,05:25 - Chào buổi sáng Bông lúa -  ,02:20 - Cơm ấm nhà mình -  ,02:00 - Kì tích kiến trúc của loài vật - Tập 2,01:30 - 360 độ Thời trang - Số 28,02:00 - Phim truyện - Kẻ thù phụ nữ - Tập 9,02:45 - Game show Cuồng nhiệt cùng bóng đá 2016 - FC 88 vs FC Phương Anh,02:30 - Hồn việt - Số 10,03:00 - Phim truyện - Phượng mưu hoàng kế - Tập 24,07:00 - Phim hoạt hình - Truy tìm cổ vật - Tập 6
01:10 - Môi trường - Phòng chống cháy rừng ở một số vùng trọng điểm,02:30 - Khám phá thế giới - Hành trình của nhà tự nhiên học – Tập 5,"03:00 - Phim truyện - Vẫn là Oh Hae Young - Tập 13, 14",01:15 - Người Việt bốn phương -  ,"03:00 - Phim hoạt hình - Cặp đôi siêu quậy - Tập 1, 2","03:00 - Phim hoạt hình - Cặp đôi siêu quậy - Tập 1, 2","03:00 - Phim hoạt hình - Farhat 2 - Hoàng tử Farhat và viên pha lê bọ cạp - Tập 51,52",02:15 - Khám phá thế giới - Trái đất - Ngôi nhà chung - Tập 3,07:45 - Đổi mới sáng tạo - Số 15: Học toán thật vui,06:00 - Chào ngày mới -  ,02:30 - X-Show - Trải nghiệm lái máy bay chiến đấu L39,02:30 - Sắc đẹp tội lỗi - Tập 22,02:00 - Việt Nam Top Hits - Số 23,03:00 - Phim truyện - Chàng rễ ngoại quốc - Tập 17,03:45 - Không phải ai cũng biết - Kỹ thuật xoay hông,03:00 - Ca nhạc - VZ Playlist - Tập 122,04:00 - Phim truyện - Thêm một lần cuối - Tập 6,07:30 - Phim hoạt hình - Thám hiểm không gian - Tập 2
01:40 - Khám phá Việt Nam - Mùa của thiên đường,03:15 - Bạn của nhà nông -  ,04:30 - Vui - khỏe - có ích -  ,01:30 - Tường thuật - Hoa hậu Việt Nam 2018 vòng sơ khảo phía Nam,03:30 - Ca nhạc -  ,03:30 - Ca nhạc -  ,03:30 - Ca nhạc -  ,03:00 - Hôm nay ai đến? -  ,08:00 - Mẹ ơi tại sao - Số 8: Học hỏi từ nhầm lẫn,06:30 - Thông tin - Thông báo -  ,02:50 - Hương tình yêu -  ,03:30 - Sao thế giới - Tập 156,02:30 - MV -  ,04:00 - Phim truyện - Hot girl làm vợ - Tập 12,04:00 - NBA 2017/2018 Chung kết miền Tây Game 7 - Golden State vs Houston,04:00 - Nghịch cảnh - Tập 53,05:00 - Phim truyện - Con riêng của mẹ - Tập 52,08:00 - Phim hoạt hình - Thuyền trưởng Flinn và đội quân hải tặc - Tập 15
02:00 - Thời sự 2h -  ,04:00 - Phát triển bền vững - Tam Đảo xanh,05:10 - Bố ơi! Mình đi đâu thế? -  ,03:00 - Phim tài liệu - Lá chắn cho con,"04:00 - Tôi người Việt Nam - Giáo sư, tiến sĩ Nguyễn Thị Lang","04:00 - Tôi người Việt Nam - Giáo sư, tiến sĩ Nguyễn Thị Lang","04:00 - Tôi là người Việt Nam - Giáo sư, tiến sĩ Nguyễn Thị Lang",03:30 - Thể thao - Tạp chí thể thao thế giới,08:15 - Baby on the way - Số 3: Đui thuyền tới đảo em bé,06:35 - Phim truyện - Nỗi lòng mẹ kế - Tập 51,03:00 - Gặp nhau để cười -  ,04:00 - Chuyện khó đỡ - Tập 4,03:00 - Siêu thị âm nhạc - Số 143,05:00 - Phim truyện - Hãy nói về tình yêu - Tập 6,05:45 - Gương mặt thể thao - Phạm Thị Hương,05:00 - Hương vị cuộc sống - Tập 19,06:00 - Phim truyện - Con tim dẫn lối - Tập 13,08:30 - Phim hoạt hình - Cùng Alisa khám phá vũ trụ - Tập 3
02:10 - Phim truyện - Bố là trụ cột - Tập 3,04:15 - Kỹ năng thoát hiểm - Nguy hiểm khi khám phá hang động - Phần 2,06:00 - Nhịp đập 360 độ thể thao -  ,03:30 - Việt Nam và Thế giới - 30 năm FDI và vấn đề chuyển giao công nghệ,04:30 - Phim truyện - Hoa thiên cốt - Tập 42,04:30 - Phim truyện - Hoa Thiên Cốt - Tập 42,04:15 - Vì cộng đồng - Những ngôi nhà chống lũ,04:00 - Phim truyện - Nơi ẩn nấp bình yên - Tập 12,08:30 - Chuyện học trò - Số 8: Nói dối,07:20 - Sắc màu các dân tộc - Xứ sở cồng chiêng,03:10 - Nhìn ra thế giới - Con tàu trái đất - Tập 5,05:00 - Bác sĩ ma cà rồng - Tập 28,04:00 - Bữa cơm cho mẹ - Số 4,06:00 - Phim truyện - Nợ ân tình - Tập 10,06:00 - V - League 2018 Vòng 19 - Hoàng Anh Gia Lai - XSKT Cần Thơ,06:00 - Hương vị cuộc sống - Tập 20,07:00 - Phim truyện - Phượng mưu hoàng kế - Tập 25,09:00 - Phim hoạt hình - Đội túc cầu thần thánh - Tập 11
03:00 - Thời sự 3h -  ,04:30 - Khám phá thế giới - Hành tinh nổi giận – Tập 10,06:45 - S- Việt Nam - Niềm vui chung của người dân Đạ Huoai,04:00 - Phim cuối tuần - Bến mãi đợi đò,05:15 - Khám phá Việt Nam -  ,05:15 - Khám phá Việt Nam -  ,04:30 - Phim truyện - Tháng ngày tươi đẹp - Tập 13,"04:45 - Khám phá Việt Nam - Ngưu Tinh, mối tình Kim Châu","09:00 - Phim hoạt hình - Chú rô bốt của tôi - Tập 1, 2",07:50 - Văn học - Nghệ thuật - Nữ hoạ sĩ Chế Kim Trung,03:55 - Lắm người nhiều ma -  ,06:00 - Kì tích kiến trúc của loài vật - Tập 2,04:30 - Cha con hợp sức - Số 3,07:00 - Phim truyện - Thiếu gia nhà nghèo - Tập 11,07:30 - Thích thì thử - Võ gậy Arnis,07:00 - Đội đặc nhiệm CID - Tập 186,08:00 - Phim truyện - Thêm một lần cuối - Tập 7,09:30 - Phim hoạt hình - Coconut - Chú rồng tinh nghịch - Tập 26
